Title,JSON URL,Download Count,published_date,updated_date
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of January 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=1&Year=2017,2,01/09/2017,01/09/2017
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of March 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=3&Year=2017,1,08/09/2017,08/09/2017
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of December 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=12&Year=2018,0,03/12/2018,03/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of December 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=12&Year=2018,1,03/12/2018,03/12/2018
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of June 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=6&Year=2018,1,01/06/2018,01/06/2018
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of July 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=7&Year=2018,1,02/07/2018,02/07/2018
Farmers Queries in Kisan Call Centre (KCC) from Botad district of GUJARAT for the month of August 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0423&Month=8&Year=2018,2,01/08/2018,01/08/2018
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of May 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=5&Year=2018,1,02/05/2018,02/05/2018
Farmers Queries in Kisan Call Centre (KCC) from ANAND district of GUJARAT for the month of July 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0425&Month=7&Year=2018,2,02/07/2018,02/07/2018
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of April 2014,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=4&Year=2014,1,14/06/2018,14/06/2018
Farmers Queries in Kisan Call Centre (KCC) from Aravalli district of GUJARAT for the month of October 2017,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0421&Month=10&Year=2017,2,03/10/2017,03/10/2017
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of March 2014,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=3&Year=2014,2,13/06/2018,13/06/2018
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of August 2014,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=8&Year=2014,2,20/06/2018,20/06/2018
Farmers Queries in Kisan Call Centre (KCC) from BANAS KANTHA district of GUJARAT for the month of November 2014,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0402&Month=11&Year=2014,1,28/06/2018,28/06/2018
Farmers Queries in Kisan Call Centre (KCC) from AHMADABAD district of GUJARAT for the month of July 2014,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0401&Month=7&Year=2014,1,19/06/2018,19/06/2018
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of February 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=2&Year=2018,1,09/03/2018,09/03/2018
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of March 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=3&Year=2018,1,12/03/2018,12/03/2018
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of June 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=6&Year=2018,2,01/06/2018,01/06/2018
Farmers Queries in Kisan Call Centre (KCC) from AMRELI district of GUJARAT for the month of July 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0413&Month=7&Year=2018,2,02/07/2018,02/07/2018
Farmers Queries in Kisan Call Centre (KCC) from BHAVNAGAR district of GUJARAT for the month of October 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=10&Year=2018,1,01/10/2018,01/10/2018
Farmers Queries in Kisan Call Centre (KCC) from BHAVNAGAR district of GUJARAT for the month of December 2018,http://dackkms.gov.in/Account/API/kKMS_QueryData.aspx?StateCD=04&DistrictCd=0414&Month=12&Year=2018,0,03/12/2018,03/12/2018
